,name,distance,mass,radius
0,54 Piscium,B,36.1,53
1,81 Cancri,CD,66,
2,AB Pictoris,b,66.6,13.5
3,CD−33°7795,b,163.08,20
4,CT Chamaeleontis,b,538,17
5,Eta Coronae Borealis,C,58.3,63
6,G 196-3,b,50.2,25
7,GD 165,B,103,
8,Gliese 570,D,19.0,52
9,GU Piscium,b,155.3,11
10,HD 89744,B,126.2,
11,HD 100546,b,337.25,20
12,HN Pegasi,B,58.3,28
13,LHS 4040 [es],C,,
14,UScoCTIO 108,b,473,14
15,WD 0137-349,B,330,53
16,HD 41004 B,b,139,18.4
17,HD 149382,b,241,15.5
18,COROT-15,b,,63.4
19,Xi Ursae Majoris B,b,25.11,37
20,Upsilon Andromedae,Samh,43.9,13.98
21,Gliese 758,B,51.9,23
22,HD 112758,b,53.81,35
23,BD−04°782,b,66.6,21
24,HD 110833,b,55.44,17
25,HD 89707,b,81.54,54
26,Tau Geminorum,b,302,18.1
27,HAT-P-13,c,698,15.2
28,HD 217580,b,58.7,60
29,HD 16760,b,163,14.3
30,HD 13189,b,603.4,14
31,HD 18445,b,83.92,39
32,HD 8673,b,124.75,14
33,NGC 4349-127,b,7097,19.8
34,Gliese 569,Ba + Bb,31.5,116[7]
35,HD 29587,b,146.77,40
36,ChaHα8,b,522,18
37,COROT-20,c,4000,17
38,HD 168443,c,123.5,34
39,HD 38529 A,c,138,37
40,Epsilon Indi,Bb,11.8,28
41,HW Virginis,b,590,19.23
42,DT Virginis,c,37.55,12.5
43,HD 4113,C,136,60
44,Gliese 229,B,19,40
45,TYC 9486-927-1,2MASS J2126-8140,111,13.3 (± 1.7)  MJ
46,Epsilon Indi,Ba,11.8,47
47,HD 131664,b,180.8,18.15
48,HD 136118,b,171,42
49,HD 140913,b,156.42,46
50,GQ Lupi,b,400,1-42
51,HD 162020,b,101.95,15.0
52,Nu Ophiuchi,b,152.8,21.9
53,HD 164427,b,127.52,46
54,SCR 1845-6357,B,12.57,40-50
55,COROT-3,b,2220,21.66
56,15 Sagittae,B,57.7,65
57,Zeta Delphini,B,220,55
58,HD 202206,b,151.14,17.4
